Date,Open,High,Low,Close
21-Jul-15,28381.82,28518.06,28138.3,28182.14
22-Jul-15,28159.42,28546.42,28070.91,28504.93
23-Jul-15,28540.97,28578.33,28315.37,28370.84
24-Jul-15,28390.5,28402.64,28083.76,28112.31
27-Jul-15,28117.65,28117.65,27529.57,27561.38
28-Jul-15,27630.21,27676.65,27416.39,27459.23
29-Jul-15,27540.46,27609.29,27470.09,27563.43
30-Jul-15,27685.82,27854.46,27649.97,27705.35
31-Jul-15,27814.51,28161.17,27814.51,28114.56
3-Aug-15,28089.09,28263.35,28071.37,28187.06
4-Aug-15,28225.04,28264.72,27866.12,28071.93
5-Aug-15,28138.04,28315.71,28135.68,28223.08
6-Aug-15,28291.88,28359.96,28163.69,28298.13
7-Aug-15,28327.11,28335.67,28193.93,28236.39
1-Sep-15,26127.04,26141.07,25579.88,25696.44
2-Sep-15,25891.95,25939.37,25395.09,25453.56
3-Sep-15,25614.69,25835.41,25555.77,25764.78
4-Sep-15,25772.58,25775.38,25119.06,25201.9
7-Sep-15,25302.98,25387.32,24851.77,24893.81
8-Sep-15,24972.01,25411,24833.54,25317.87
9-Sep-15,25682.87,25820.56,25553.61,25719.58
1-Oct-15,26344.19,26431.8,26168.71,26220.95
5-Oct-15,26379.42,26822.42,26375.31,26785.55
6-Oct-15,26976.66,27010.27,26751.25,26932.88
7-Oct-15,26966.86,27082.28,26877.51,27035.85
8-Oct-15,27116.86,27120.11,26762.36,26845.81
9-Oct-15,26974.92,27200.44,26910.59,27079.51
12-Oct-15,27242.6,27305.04,26855.75,26904.11
13-Oct-15,26874.29,26918.52,26719.1,26846.53
14-Oct-15,26760.32,26869.08,26713.28,26779.66
15-Oct-15,26842.19,27037.95,26836.77,27010.14
16-Oct-15,27062.8,27239.22,26917.12,27214.6
19-Oct-15,27305.62,27387.91,27246.79,27364.92
20-Oct-15,27402.9,27432.07,27216.4,27306.83
21-Oct-15,27312.35,27445.24,27190.55,27287.66
23-Oct-15,27466.64,27555.06,27421.71,27470.81
26-Oct-15,27575.04,27618.14,27318.2,27361.96
27-Oct-15,27291.06,27296.3,27209.52,27253.44
28-Oct-15,27131.71,27163.98,26919.96,27039.76
29-Oct-15,27083.7,27099.11,26794.1,26838.14
30-Oct-15,26878.48,26942.29,26585.2,26656.83
2-Nov-15,26641.69,26824.3,26378.26,26559.15
3-Nov-15,26660.71,26732.24,26514.48,26590.59
4-Nov-15,26704.02,26800.06,26510.31,26552.92
5-Nov-15,26557.8,26557.8,26243.2,26304.2
6-Nov-15,26284.01,26438.86,26190.18,26265.24
9-Nov-15,25809,26193.17,25656.9,26121.4
1-Dec-15,26201.27,26246.02,26121.52,26169.41
2-Dec-15,26239.39,26256.42,26041.68,26117.85
3-Dec-15,26123.86,26123.86,25857.35,25886.62
4-Dec-15,25810.06,25810.06,25623.71,25638.11
7-Dec-15,25746.03,25785.53,25477.69,25530.11
8-Dec-15,25488.42,25542.47,25256.79,25310.33
9-Dec-15,25299.34,25316.95,25012.22,25036.05
